class,precision,recall,f1,support,dataset,seed
DDoS-SYN_Flood,0.9881333807998102,0.9519835372127586,0.9697216722953301,8747,CICIoT2023,2
DDoS-SlowLoris,0.0,0.0,0.0,50,CICIoT2023,2
DDoS-SynonymousIP_Flood,0.9990737064972873,0.9807742270719667,0.989839396919043,7698,CICIoT2023,2
DDoS-TCP_Flood,0.9981000633312223,0.978274363749224,0.9880877742946709,9666,CICIoT2023,2
DDoS-UDP_Flood,0.9904694669961172,0.9732073181305818,0.9817625191340477,11533,CICIoT2023,2
DDoS-UDP_Fragmentation,0.005657708628005658,0.006896551724137931,0.006216006216006216,580,CICIoT2023,2
DNS_Spoofing,0.05671524222134699,0.37402597402597404,0.09849521203830369,385,CICIoT2023,2
DictionaryBruteForce,0.0,0.0,0.0,26,CICIoT2023,2
DoS-HTTP_Flood,0.07739938080495357,0.16025641025641027,0.10438413361169102,156,CICIoT2023,2
DoS-SYN_Flood,0.9909326424870466,0.8841886269070736,0.9345223552406547,4326,CICIoT2023,2
DoS-TCP_Flood,0.962610229276896,0.9493825013045747,0.9559506086347316,5749,CICIoT2023,2
DoS-UDP_Flood,0.9494601079784043,0.8779642213285259,0.912313567259889,7211,CICIoT2023,2
MITM-ArpSpoofing,0.005813953488372093,0.0015479876160990713,0.0024449877750611247,646,CICIoT2023,2
Mirai-greeth_flood,0.9842197545295149,0.8019047619047619,0.8837575439517187,2100,CICIoT2023,2
Mirai-greip_flood,0.8171828171828172,0.4927710843373494,0.6148064637354378,1660,CICIoT2023,2
Mirai-udpplain,0.9598885793871866,0.8840430990251411,0.9204059829059829,1949,CICIoT2023,2
Recon-HostDiscovery,0.2535885167464115,0.37992831541218636,0.30416068866571017,279,CICIoT2023,2
Recon-OSScan,0.07142857142857142,0.03571428571428571,0.047619047619047616,196,CICIoT2023,2
Recon-PingSweep,0.0,0.0,0.0,2,CICIoT2023,2
Recon-PortScan,0.016891891891891893,0.02857142857142857,0.021231422505307854,175,CICIoT2023,2
SqlInjection,0.0,0.0,0.0,12,CICIoT2023,2
Uploading_Attack,0.0,0.0,0.0,4,CICIoT2023,2
VulnerabilityScan,0.031746031746031744,0.022988505747126436,0.02666666666666667,87,CICIoT2023,2
XSS,0.0,0.0,0.0,9,CICIoT2023,2
