accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,note,train_time_sec
0.997545008183306,0.9957039490546322,0.9963811714304047,0.9975433287651921,0.9979123173277662,0.9989550679205852,0.9989550679205852,0.007547169811320755,0.0010449320794148381,0.9999088696551286,0.9999751357809825,0.385,1578,12,6,5736,ToN-IoT-Network,0,No_TemporalBranch,test,,
0.9987407303763817,0.9976210709891482,0.9980178882786394,0.9987402279374816,0.998953427524856,0.9994764397905759,0.9994764397905759,0.004234297812279464,0.0005235602094240838,0.999943715122158,0.999985926779057,0.5,1411,6,3,5727,ToN-IoT-Network,0,No_Calibration_Raw0.5,val,,
0.997545008183306,0.9961587245256731,0.9963844676097324,0.9975444494252061,0.9982590529247911,0.9986067572274469,0.9986067572274469,0.006289308176100629,0.0013932427725531174,0.9997797318226725,0.9999493600004092,0.5,1580,10,8,5734,ToN-IoT-Network,0,No_Calibration_Raw0.5,test,,
0.955645725479222,0.9197501419438112,0.9287322139122921,0.9551616254305454,0.9659149595455327,0.9792321116928446,0.9792321116928446,0.1397318278052223,0.020767888307155324,0.9363150770807239,0.9476958328208904,0.63,1219,198,119,5611,ToN-IoT-Network,0,Full_DistilledStudent,val,,6.651746511459351
0.9590834697217676,0.9365851093892734,0.9393812856502859,0.9589514933691357,0.97157712305026,0.976314872866597,0.976314872866597,0.10314465408805032,0.023685127133402994,0.9628010203969868,0.969055337624764,0.63,1426,164,136,5606,ToN-IoT-Network,0,Full_DistilledStudent,test,,6.651746511459351
0.9527074296907794,0.8956074394568079,0.9207376374015785,0.9511156312643948,0.9526527871054399,0.9902268760907504,0.9902268760907504,0.1990119971771348,0.009773123909249564,0.9546356200758429,0.976016419423972,0.21000000000000002,1135,282,56,5674,ToN-IoT-Network,0,No_FocalLoss,val,,6.4116127490997314
0.9510365521003818,0.8989310804860577,0.9233415679927308,0.9494340513181149,0.9488077372019343,0.9909439219784048,0.9909439219784048,0.19308176100628932,0.009056078021595262,0.9527534617482569,0.969172189054625,0.21000000000000002,1283,307,52,5690,ToN-IoT-Network,0,No_FocalLoss,test,,6.4116127490997314
0.9762137959983209,0.9612619636155829,0.9624902134154625,0.9761820504915367,0.9843205574912892,0.9860383944153578,0.9860383944153578,0.06351446718419196,0.013961605584642234,0.9622702881120672,0.9751362319536077,0.725,1327,90,80,5650,ToN-IoT-Network,0,No_ContrastiveLearning,val,,4.384722709655762
0.9731314784506274,0.9612438634884959,0.9605108089331826,0.9731527920059041,0.983435047951177,0.9822361546499477,0.9822361546499477,0.059748427672955975,0.017763845350052248,0.9685571831960902,0.9787402261126558,0.725,1495,95,102,5640,ToN-IoT-Network,0,No_ContrastiveLearning,test,,4.384722709655762
0.98600811529313,0.9737445208457265,0.9778047503734715,0.9859476992568978,0.988545643873655,0.9940663176265271,0.9940663176265271,0.0465772759350741,0.00593368237347295,0.9849991563426407,0.988897957099998,0.24500000000000002,1351,66,34,5696,ToN-IoT-Network,0,No_HardClassMining,val,,6.514986991882324
0.9841789416257501,0.9735270729415166,0.9765607637847772,0.9841279107693991,0.9875216637781629,0.9923371647509579,0.9923371647509579,0.045283018867924525,0.007662835249042145,0.9837341096937714,0.9845389328560177,0.24500000000000002,1518,72,44,5698,ToN-IoT-Network,0,No_HardClassMining,test,,6.514986991882324
0.9813907933398629,0.9684745566488207,0.9705991291437499,0.9813484242194624,0.9869497128936836,0.9898778359511344,0.9898778359511344,0.0529287226534933,0.01012216404886562,0.9748010015506055,0.9838960917887128,0.15000000000000002,1342,75,58,5672,ToN-IoT-Network,0,PlainKD_NoHardClassExtras,val,,3.920990467071533
0.9800872885979269,0.9684134776522545,0.9705531152620552,0.9800415830689917,0.9855952794168692,0.9890282131661442,0.9890282131661442,0.05220125786163522,0.0109717868338558,0.9710576267993314,0.9781824735728288,0.15000000000000002,1507,83,63,5679,ToN-IoT-Network,0,PlainKD_NoHardClassExtras,test,,3.920990467071533
0.9987467101140494,0.9984957589413642,0.9984957589413642,0.9987467101140494,0.999110161950525,0.999110161950525,0.999110161950525,0.00211864406779661,0.0008898380494749955,0.999724602664688,0.9998981655998642,0.655,2355,5,5,5614,ToN-IoT-Network,1,Full_AegisGraphX_backbone,val,,
0.9975117500691181,0.9959264530432413,0.9961754748935135,0.9975111250573427,0.998262682418346,0.9986096628432395,0.9986096628432395,0.006756756756756757,0.0013903371567605145,0.9997868697686216,0.9999436210743713,0.655,1470,10,8,5746,ToN-IoT-Network,1,Full_AegisGraphX_backbone,test,,
0.9986213811254543,0.9982838945345845,0.9983451314530591,0.9986212963862909,0.998932384341637,0.999110161950525,0.999110161950525,0.002542372881355932,0.0008898380494749955,0.9998913341839581,0.9999570124088204,0.655,2354,6,5,5614,ToN-IoT-Network,1,No_ExpertEnsemble_BestSingleExpert,val,LightGBM,
0.9972352778545757,0.9949998356020253,0.995746251744513,0.9972331904347951,0.9977430555555555,0.9987834549878345,0.9987834549878345,0.008783783783783784,0.0012165450121654502,0.9999212063993086,0.9999802747741748,0.655,1467,13,7,5747,ToN-IoT-Network,1,No_ExpertEnsemble_BestSingleExpert,test,LightGBM,
