baseline,dataset,metric,n_paired_seeds,winner_mean,baseline_mean,t_stat,p_ttest,wilcoxon_stat,p_wilcoxon,cohens_d,p_ttest_holm,p_wilcoxon_holm
CNN-BiLSTM,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9407589537470585,-6.4673104486940876,0.023083884066843353,0.0,0.25,-4.957225365260472,0.7336079694910469,1.0
TCN,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.45730940582248225,0.5578383996580651,0.6330632794487248,2.0,0.75,0.6354042149921862,1.0,1.0
TransformerEncoder,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9480842409859802,-5.313487834925238,0.033642170098307264,0.0,0.25,-4.980609030319998,0.7336079694910469,1.0
FT-Transformer,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.8121458865506997,-3.9173207662981455,0.059417378758409675,0.0,0.25,-3.397985735121597,0.9506780601345548,1.0
GCN,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.889875879010498,-6.9957603982190335,0.019827242418676942,0.0,0.25,-4.23653407657302,0.7336079694910469,1.0
GraphSAGE,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9624548615134233,-6.664676210852537,0.021780606442652978,0.0,0.25,-5.222491826660367,0.7336079694910469,1.0
GAT,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9138397336755079,-5.546992092433871,0.030996939007298052,0.0,0.25,-4.5955357282245854,0.7336079694910469,1.0
Protocol-role-GAT,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.9067490244596845,-5.711497205933581,0.02931368207091524,0.0,0.25,-4.473530166791659,0.7336079694910469,1.0
HypergraphNN,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.8608162717081432,-5.2074840376738605,0.034954040265994205,0.0,0.25,-3.9093999889765256,0.7336079694910469,1.0
DQN,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.5240104239897719,0.019394983523513248,0.986286965161151,3.0,1.0,0.020529524040933576,1.0,1.0
DoubleDQN,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.5105186404074346,0.09072226638671141,0.9359812620183543,3.0,1.0,0.05719872944643855,1.0,1.0
DuelingDQN,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.38124919408924557,1.4705537706174572,0.2792207017131338,1.0,0.5,1.1025161714944993,1.0,1.0
PPO,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.44031799868888394,1.248888923541092,0.33806449209009026,0.0,0.25,1.0347394586949954,1.0,1.0
A2C,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.4404386725485728,1.2493011690363245,0.33794175741114174,0.0,0.25,1.033335263673104,1.0,1.0
CQL_Offline,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.5684744396765243,-0.2510555045398036,0.8252097934403766,3.0,1.0,-0.23061024248797082,1.0,1.0
RandomAcquisition,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.5102404504269334,0.24811796333677774,0.8271935485041657,3.0,1.0,0.19715979024512217,1.0,1.0
GreedyUncertainty,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.7950905949418122,-3.617332110301544,0.0686468071135115,0.0,0.25,-3.114943344458394,1.0,1.0
GreedyCentrality,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.7950905949418122,-3.617332110301544,0.0686468071135115,0.0,0.25,-3.114943344458394,1.0,1.0
StaticThreshold,ToN-IoT-Network,macro_f1,3,0.5266912262544181,0.7950905949418122,-3.617332110301544,0.0686468071135115,0.0,0.25,-3.114943344458394,1.0,1.0
OracleUpperBound,ToN-IoT-Network,macro_f1,3,0.5266912262544181,1.0,-6.953026961029717,0.020064399906478847,0.0,0.25,-5.677122740779062,0.7336079694910469,1.0
LogisticRegression,CICIoT2023,macro_f1,3,0.465518281839457,0.5025655551210446,-2.1743961939993257,0.16170721890769102,0.0,0.25,-2.2026233075890347,1.0,1.0
LinearSVM,CICIoT2023,macro_f1,3,0.465518281839457,0.8302261838286596,-102.6541949143565,9.48822082519699e-05,0.0,0.25,-44.44499119066787,0.0033208772888189465,1.0
GaussianNB,CICIoT2023,macro_f1,3,0.465518281839457,0.7424291642735185,-59.31918492964323,0.000284069472361985,0.0,0.25,-36.00346496960709,0.0074020883140837835,1.0
kNN,CICIoT2023,macro_f1,3,0.465518281839457,0.8670032250460563,-85.80088683900952,0.00013580881755676072,0.0,0.25,-52.29726299738488,0.004345882161816343,1.0
DecisionTree,CICIoT2023,macro_f1,3,0.465518281839457,0.9163578329288061,-34.55551573353396,0.0008364117058975082,0.0,0.25,-38.903856052697336,0.01756464582384767,1.0
RandomForest,CICIoT2023,macro_f1,3,0.465518281839457,0.9394439081089759,-133.8404431124018,5.581988068142671e-05,0.0,0.25,-53.223835053203956,0.0020653355852127886,1.0
ExtraTrees,CICIoT2023,macro_f1,3,0.465518281839457,0.9044197461978207,-81.97717415239717,0.00014877062549755103,0.0,0.25,-58.139138126230776,0.00459222878786668,1.0
GradientBoosting,CICIoT2023,macro_f1,3,0.465518281839457,0.9598754770947027,-68.03850250707474,0.00021594831100248439,0.0,0.25,-64.55348959658136,0.006046552708069563,1.0
HistGradientBoosting,CICIoT2023,macro_f1,3,0.465518281839457,0.9536121540900154,-60.38310477473176,0.00027415141904014014,0.0,0.25,-61.70332605453532,0.0074020883140837835,1.0
XGBoost,CICIoT2023,macro_f1,3,0.465518281839457,0.9563337860176446,-91.18109792328401,0.00012025745791553692,0.0,0.25,-65.17833474032041,0.0040887535691282555,1.0
LightGBM,CICIoT2023,macro_f1,3,0.465518281839457,0.9547531416966879,-72.82117864127187,0.00018852188245490337,0.0,0.25,-64.48241417101504,0.005467134591192198,1.0
CatBoost,CICIoT2023,macro_f1,3,0.465518281839457,0.957241876163906,-60.147775466744505,0.00027629997015599875,0.0,0.25,-62.22404636777089,0.0074020883140837835,1.0
MLP,CICIoT2023,macro_f1,3,0.465518281839457,0.8180759072643334,-18.540510583967475,0.0028964534610299926,0.0,0.25,-12.337172630634473,0.052136162298539866,1.0
1D-CNN,CICIoT2023,macro_f1,3,0.465518281839457,0.6986414076105648,-4.776962306644242,0.04113724981859527,0.0,0.25,-4.032957484599604,0.45250974800454796,1.0
LSTM,CICIoT2023,macro_f1,3,0.465518281839457,0.8005508241430567,-23.016748298361232,0.0018822812595958678,0.0,0.25,-20.294782428210052,0.03576334393232149,1.0
GRU,CICIoT2023,macro_f1,3,0.465518281839457,0.782183980368187,-13.097794659990063,0.005778650766554702,0.0,0.25,-9.660911398633276,0.09512878869394502,1.0
CNN-LSTM,CICIoT2023,macro_f1,3,0.465518281839457,0.8298822548890943,-37.121482209269416,0.0007248980876006341,0.0,0.25,-26.487647507446738,0.01594775792721395,1.0
CNN-BiLSTM,CICIoT2023,macro_f1,3,0.465518281839457,0.8072778512052815,-8.064974009798872,0.015028549691802031,0.0,0.25,-7.264491016669166,0.1953711459934264,1.0
TCN,CICIoT2023,macro_f1,3,0.465518281839457,0.7598933179415077,-27.55622922061346,0.0013143273881220006,0.0,0.25,-13.562096552512639,0.02628654776244001,1.0
TransformerEncoder,CICIoT2023,macro_f1,3,0.465518281839457,0.8579006895600286,-107.11433145793183,8.71461215250941e-05,0.0,0.25,-48.60540719927351,0.0031372603749033876,1.0
FT-Transformer,CICIoT2023,macro_f1,3,0.465518281839457,0.8328131746238853,-44.9392944126358,0.0004947947447931625,0.0,0.25,-44.60060919522254,0.011380279130242737,1.0
GCN,CICIoT2023,macro_f1,3,0.465518281839457,0.8407472658703766,-82.15250930024575,0.0001481364125118284,0.0,0.25,-44.341042465379196,0.00459222878786668,1.0
GraphSAGE,CICIoT2023,macro_f1,3,0.465518281839457,0.805911103830768,-12.57738164574461,0.006262173720426902,0.0,0.25,-12.31369418864423,0.09512878869394502,1.0
GAT,CICIoT2023,macro_f1,3,0.465518281839457,0.8150576173537444,-13.311893406613464,0.0055958110996438245,0.0,0.25,-11.618153990687485,0.09512878869394502,1.0
Protocol-role-GAT,CICIoT2023,macro_f1,3,0.465518281839457,0.8302238835952084,-49.012965705976555,0.0004160130575846937,0.0,0.25,-20.51682586604615,0.009984313382032648,1.0
HypergraphNN,CICIoT2023,macro_f1,3,0.465518281839457,0.7940389669694037,-9.92419110819417,0.010001294541337052,0.0,0.25,-6.76463817515765,0.14001812357871873,1.0
DQN,CICIoT2023,macro_f1,3,0.465518281839457,0.5615053102199997,-1.3460055860683202,0.3105770474551812,0.0,0.25,-1.0616300180163731,1.0,1.0
DoubleDQN,CICIoT2023,macro_f1,3,0.465518281839457,0.5454577940441478,-0.920219629854444,0.4546030601663842,1.0,0.5,-0.701806950288616,1.0,1.0
DuelingDQN,CICIoT2023,macro_f1,3,0.465518281839457,0.6225251619951587,-1.6905566710534257,0.23298865183908216,1.0,0.5,-1.3184571202987636,1.0,1.0
PPO,CICIoT2023,macro_f1,3,0.465518281839457,0.49390368204033946,-4.630157762658979,0.043616289861296786,0.0,0.25,-3.796832686898821,0.45250974800454796,1.0
A2C,CICIoT2023,macro_f1,3,0.465518281839457,0.49390368204033946,-4.630157762658979,0.043616289861296786,0.0,0.25,-3.796832686898821,0.45250974800454796,1.0
CQL_Offline,CICIoT2023,macro_f1,3,0.465518281839457,0.4869395450763691,-3.5026140717907293,0.07273025276829995,0.0,0.25,-2.3791199720282674,0.5818420221463996,1.0
RandomAcquisition,CICIoT2023,macro_f1,3,0.465518281839457,0.41914596049586433,7.356744909993774,0.017980062307918907,0.0,0.25,6.15405126869748,0.2157607476950269,1.0
GreedyUncertainty,CICIoT2023,macro_f1,3,0.465518281839457,0.46154130486516265,0.5931982773079791,0.6131951470387837,2.0,0.75,0.46520693737667407,1.0,1.0
GreedyCentrality,CICIoT2023,macro_f1,3,0.465518281839457,0.46154130486516265,0.5931982773079791,0.6131951470387837,2.0,0.75,0.46520693737667407,1.0,1.0
StaticThreshold,CICIoT2023,macro_f1,3,0.465518281839457,0.46154130486516265,0.5931982773079791,0.6131951470387837,2.0,0.75,0.46520693737667407,1.0,1.0
OracleUpperBound,CICIoT2023,macro_f1,3,0.465518281839457,1.0,-87.56103562051659,0.00013040470573283644,0.0,0.25,-71.49328620664282,0.0043033552891836024,1.0
