accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_attack,recall_attack,minority_recall,fpr,fnr,roc_auc,pr_auc,threshold,tn,fp,fn,tp,dataset,seed,component,split,row_cap,post_determinism_fix,note,train_time_sec
0.945336977534831,0.9472665854528671,0.9414931965213926,0.9456608748165874,0.9732210344455242,0.9403234220135629,0.9403234220135629,0.04579025110782865,0.05967657798643714,0.9912799379569721,0.9952439333926056,0.5,5168,248,572,9013,UNSW-NB15,0,No_Calibration_Raw0.5,val,100000,True,,
0.9468666666666666,0.9489040325878529,0.9431257545798242,0.9471807593633266,0.9744115741740444,0.9415753781950965,0.9415753781950965,0.04376731301939058,0.058424621804903494,0.9916632492193337,0.995440245635168,0.5,5178,237,560,9025,UNSW-NB15,0,No_Calibration_Raw0.5,test,100000,True,,
0.9284047730151324,0.9225326107308549,0.9224308230173687,0.9284133830799862,0.9442530535546508,0.9436619718309859,0.9436619718309859,0.09859675036927622,0.056338028169014086,0.9783911866075827,0.975474968890207,0.5850000000000001,4882,534,540,9045,UNSW-NB15,0,Full_DistilledStudent,val,100000,True,,13.952767610549927
0.9276666666666666,0.9225120911165154,0.9217489294568402,0.9277312237998647,0.9454926624737946,0.9410537297861241,0.9410537297861241,0.09602954755309326,0.05894627021387585,0.9792472656808813,0.9767494433080093,0.5850000000000001,4895,520,565,9020,UNSW-NB15,0,Full_DistilledStudent,test,100000,True,,13.952767610549927
0.9153389774015066,0.9134326199001548,0.909164643151938,0.9157462845445362,0.9457489010399914,0.9202921231090245,0.9202921231090245,0.09342688330871492,0.07970787689097548,0.9771621536759262,0.987489748203874,0.5800000000000001,4910,506,764,8821,UNSW-NB15,0,No_FocalLoss,val,100000,True,,15.86915397644043
0.9126,0.9110843784364131,0.9063294159182043,0.9130669412006285,0.9450301204819277,0.9165362545644236,0.9165362545644236,0.09436749769159741,0.08346374543557643,0.9760458279928191,0.9873305342481711,0.5800000000000001,4904,511,800,8785,UNSW-NB15,0,No_FocalLoss,test,100000,True,,15.86915397644043
0.9271381907872809,0.9221036377463864,0.921206172112934,0.9272145748955755,0.9454469156525388,0.9402190923317684,0.9402190923317684,0.09601181683899557,0.05978090766823161,0.9770236991729908,0.9720513791781686,0.66,4896,520,573,9012,UNSW-NB15,0,No_ContrastiveLearning,val,100000,True,,10.359442234039307
0.9267333333333333,0.9214604132438005,0.9207329482158328,0.9267958524901184,0.9446656885348983,0.9404277516953573,0.9404277516953573,0.09750692520775624,0.05957224830464267,0.9780828578048091,0.973946489828453,0.66,4887,528,571,9014,UNSW-NB15,0,No_ContrastiveLearning,test,100000,True,,10.359442234039307
0.9236050929938004,0.9179335036973854,0.917329716049823,0.9236597539108059,0.9418787307571473,0.9383411580594679,0.9383411580594679,0.1024741506646972,0.06165884194053208,0.9813055792493348,0.9893887357208633,0.605,4861,555,591,8994,UNSW-NB15,0,No_HardClassMining,val,100000,True,,16.233783960342407
0.9232666666666667,0.9188281840421827,0.9171652262124115,0.9234150436268659,0.944549862955935,0.9347939488784559,0.9347939488784559,0.09713758079409049,0.06520605112154408,0.9815930747440769,0.9898011322178913,0.605,4889,526,625,8960,UNSW-NB15,0,No_HardClassMining,test,100000,True,,16.233783960342407
0.923138457436171,0.9132718489392507,0.9161172518937601,0.9228618154666428,0.9321443214432145,0.948774126238915,0.948774126238915,0.12223042836041359,0.051225873761085026,0.9814159286921263,0.989631921199136,0.47500000000000003,4754,662,491,9094,UNSW-NB15,0,PlainKD_NoHardClassExtras,val,100000,True,,17.252554655075073
0.9240666666666667,0.9147942956807222,0.9172161263567307,0.9238364631104811,0.9340184994861254,0.9481481481481482,0.9481481481481482,0.1185595567867036,0.05185185185185185,0.9816025443726275,0.9897520299565992,0.47500000000000003,4773,642,497,9088,UNSW-NB15,0,PlainKD_NoHardClassExtras,test,100000,True,,17.252554655075073
0.9985479186834463,0.9972848485513104,0.9978948531328001,0.9985470268496714,0.9985795454545454,0.9995556740424776,0.9995556740424776,0.004985976939856653,0.0004443259575224385,0.9999557197129275,0.9999872552112138,0.385,3193,16,5,11248,ToN-IoT-Network,0,Full_AegisGraphX_backbone,val,100000,True,,
0.9988431439265056,0.9971149877842742,0.9981281699641904,0.998841963062221,0.9986550100874243,0.9999158320006734,0.9999158320006734,0.005685856432125089,8.416799932665601e-05,0.9999172826573781,0.9999797155651645,0.385,2798,16,1,11880,ToN-IoT-Network,0,Full_AegisGraphX_backbone,test,100000,True,,
