accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,row_cap,post_determinism_fix
0.9956764979633503,0.9833327939574101,0.9563879683264498,0.9957966375037691,0.9962983091168237,0.9703672787979967,0.9992697952341283,0.02963272120200334,0.0037016908831762766,0.9993209469682569,0.9999834045298546,LightGBM,classical_tree,1.5420665740966797,3.424175559742454e-07,4.905725,0,test,CICIoT2023,100000,True
0.9959267006275083,0.9665659752674756,0.957349093210438,0.9959668907097398,0.9974057401843668,0.9357262103505843,0.9984192806700608,0.0642737896494157,0.0025942598156332352,0.9993726063713372,0.9999846604092578,CatBoost,classical_tree,5.106462717056274,1.801543364199709e-07,3.200408,0,test,CICIoT2023,100000,True
0.8128,0.7691307129367041,0.7829085801229487,0.805367422725505,0.9257637368366176,0.6124976890367906,0.8090205011389522,0.3875023109632095,0.07423626316338233,0.8725592869647951,0.9145037246325015,LogisticRegression,classical_tree,1.182861328125,1.4945665995279948e-07,3.437419,1,test,UNSW-NB15,100000,True
0.8942,0.8726873959126846,0.8820908631830966,0.8926255854981142,0.9498488165988948,0.7955259752264744,0.8917384494909946,0.2044740247735256,0.0501511834011052,0.961987120135332,0.9745950776264546,LinearSVM,classical_tree,41.213908672332764,6.721814473470052e-07,27.79639,1,test,UNSW-NB15,100000,True
0.7332666666666666,0.7584887743426036,0.7293033977125765,0.7384352934514222,0.6680221040558857,0.8489554446293215,0.8869047619047619,0.1510445553706785,0.33197789594411425,0.8482739670955849,0.8885068336037235,GaussianNB,classical_tree,0.04863572120666504,1.145776112874349e-06,30.221339,1,test,UNSW-NB15,100000,True
0.9233333333333333,0.9173958091719492,0.9169585809235308,0.9233732138825766,0.9386925242414764,0.896099094102422,0.9412441191845269,0.10390090589757811,0.06130747575852362,0.9814318166147589,0.9874852274000241,kNN,classical_tree,0.005614280700683594,2.7137819925944012e-05,6.511172,1,test,UNSW-NB15,100000,True
0.9301333333333334,0.9381909216170433,0.9261347270626479,0.9309261801927358,0.9092899593368783,0.9670918838972083,0.979997752556467,0.032908116102791644,0.09071004066312167,0.9794472170220128,0.9832905096242874,DecisionTree,classical_tree,0.6168997287750244,2.1273295084635416e-07,16.316474,1,test,UNSW-NB15,100000,True
0.9408666666666666,0.9444479719703944,0.9369087270717578,0.9413143973900727,0.9316025440517152,0.9572933998890738,0.9747981671394284,0.04270660011092623,0.06839745594828485,0.9909203506036957,0.9950332286359218,RandomForest,classical_tree,2.2247469425201416,1.0792811711629231e-05,214.292803,1,test,UNSW-NB15,100000,True
0.9226,0.9221830955983241,0.9170530060440709,0.9230332918712674,0.9236784485455114,0.920687742651137,0.9538113695090439,0.079312257348863,0.07632155145448859,0.9837548273855294,0.9908460116804212,ExtraTrees,classical_tree,1.615569829940796,9.940497080485026e-06,174.187804,1,test,UNSW-NB15,100000,True
0.9364,0.9313219033396591,0.93107858555495,0.936417874232781,0.9495360233552289,0.9131077833240895,0.9509240889631408,0.08689221667591052,0.05046397664477114,0.9883719733321352,0.9935937959117629,GradientBoosting,classical_tree,41.22165584564209,1.3308366139729818e-06,19.177139,1,test,UNSW-NB15,100000,True
